ID,Language_ID,Parameter_ID,Value
colex-abad1241,abad1241,Is_there_colexification?,partial colexification
colex-abai1240,abai1240,Is_there_colexification?,unknown
colex-abai1241,abai1241,Is_there_colexification?,unknown
colex-aben1249,aben1249,Is_there_colexification?,lexically distinct
colex-achi1257,achi1257,Is_there_colexification?,lexically distinct
colex-adas1235,adas1235,Is_there_colexification?,unknown
colex-adon1237,adon1237,Is_there_colexification?,lexically distinct
colex-adze1240,adze1240,Is_there_colexification?,partial colexification
colex-agta1234,agta1234,Is_there_colexification?,unknown
colex-agus1235,agus1235,Is_there_colexification?,unknown
colex-agut1237,agut1237,Is_there_colexification?,partial colexification
colex-ahin1234,ahin1234,Is_there_colexification?,lexically distinct
colex-aigh1235,aigh1235,Is_there_colexification?,unknown
colex-aikl1237,aikl1237,Is_there_colexification?,unknown
colex-ajie1238,ajie1238,Is_there_colexification?,lexically distinct
colex-akei1237,akei1237,Is_there_colexification?,full colexification
colex-akla1240,akla1240,Is_there_colexification?,partial colexification
colex-akol1237,akol1237,Is_there_colexification?,lexically distinct
colex-alab1246,alab1246,Is_there_colexification?,partial colexification
colex-alan1249,alan1249,Is_there_colexification?,lexically distinct
colex-alba1269,alba1269,Is_there_colexification?,lexically distinct
colex-alor1247,alor1247,Is_there_colexification?,lexically distinct
colex-alun1238,alun1238,Is_there_colexification?,lexically distinct
colex-amah1245,amah1245,Is_there_colexification?,full colexification
colex-amar1272,amar1272,Is_there_colexification?,full colexification
colex-amar1273,amar1273,Is_there_colexification?,partial colexification
colex-amba1265,amba1265,Is_there_colexification?,lexically distinct
colex-amba1266,amba1266,Is_there_colexification?,lexically distinct
colex-amba1267,amba1267,Is_there_colexification?,lexically distinct
colex-ambe1248,ambe1248,Is_there_colexification?,unknown
colex-ambl1237,ambl1237,Is_there_colexification?,lexically distinct
colex-ambo1250,ambo1250,Is_there_colexification?,lexically distinct
colex-amga1235,amga1235,Is_there_colexification?,lexically distinct
colex-amis1246,amis1246,Is_there_colexification?,partial colexification
colex-ampa1239,ampa1239,Is_there_colexification?,unknown
colex-anak1240,anak1240,Is_there_colexification?,full colexification
colex-andi1257,andi1257,Is_there_colexification?,partial colexification
colex-andr1248,andr1248,Is_there_colexification?,partial colexification
colex-anei1239,anei1239,Is_there_colexification?,partial colexification
colex-ansu1237,ansu1237,Is_there_colexification?,lexically distinct
colex-anta1255,anta1255,Is_there_colexification?,unknown
colex-anuk1239,anuk1239,Is_there_colexification?,partial colexification
colex-anus1237,anus1237,Is_there_colexification?,unknown
colex-anut1237,anut1237,Is_there_colexification?,full colexification
colex-aohe1237,aohe1237,Is_there_colexification?,unknown
colex-aore1237,aore1237,Is_there_colexification?,lexically distinct
colex-apal1255,apal1255,Is_there_colexification?,lexically distinct
colex-apma1240,apma1240,Is_there_colexification?,partial colexification
colex-aput1237,aput1237,Is_there_colexification?,full colexification
colex-arak1252,arak1252,Is_there_colexification?,full colexification
colex-aral1243,aral1243,Is_there_colexification?,unknown
colex-area1240,area1240,Is_there_colexification?,lexically distinct
colex-aree1239,aree1239,Is_there_colexification?,partial colexification
colex-argu1237,argu1237,Is_there_colexification?,lexically distinct
colex-arha1237,arha1237,Is_there_colexification?,lexically distinct
colex-arho1237,arho1237,Is_there_colexification?,lexically distinct
colex-arib1240,arib1240,Is_there_colexification?,partial colexification
colex-arib1241,arib1241,Is_there_colexification?,partial colexification
colex-arif1239,arif1239,Is_there_colexification?,partial colexification
colex-arop1242,arop1242,Is_there_colexification?,lexically distinct
colex-arop1243,arop1243,Is_there_colexification?,lexically distinct
colex-aros1241,aros1241,Is_there_colexification?,full colexification
colex-arta1239,arta1239,Is_there_colexification?,full colexification
colex-asil1242,asil1242,Is_there_colexification?,full colexification
colex-asss1237,asss1237,Is_there_colexification?,lexically distinct
colex-asum1237,asum1237,Is_there_colexification?,lexically distinct
colex-ataa1240,ataa1240,Is_there_colexification?,unknown
colex-atam1240,atam1240,Is_there_colexification?,lexically distinct
colex-atay1247,atay1247,Is_there_colexification?,lexically distinct
colex-atii1237,atii1237,Is_there_colexification?,full colexification
colex-auhe1237,auhe1237,Is_there_colexification?,full colexification
colex-aulu1238,aulu1238,Is_there_colexification?,lexically distinct
colex-aust1304,aust1304,Is_there_colexification?,lexically distinct
colex-avau1237,avau1237,Is_there_colexification?,lexically distinct
colex-avok1244,avok1244,Is_there_colexification?,lexically distinct
colex-awad1244,awad1244,Is_there_colexification?,partial colexification
colex-axam1237,axam1237,Is_there_colexification?,lexically distinct
colex-ayiw1239,ayiw1239,Is_there_colexification?,lexically distinct
colex-baba1267,baba1267,Is_there_colexification?,unknown
colex-baba1268,baba1268,Is_there_colexification?,lexically distinct
colex-babu1240,babu1240,Is_there_colexification?,lexically distinct
colex-baca1243,baca1243,Is_there_colexification?,unknown
colex-bada1261,bada1261,Is_there_colexification?,unknown
